feature,importance,std
emb_84,0.011484167075098034,0.008157285855052626
emb_67,0.010679117449126143,0.00832670265551258
emb_120,0.010261353512242473,0.007168884621551624
emb_73,0.010173400253767317,0.007391447068927591
emb_47,0.010076909900127636,0.007024036535913427
emb_52,0.009795953358902282,0.00680905108238787
emb_9,0.009719131205573429,0.008319791443255908
emb_97,0.009561689457563362,0.0072694483842380905
emb_29,0.009556002017740971,0.006623290259671927
emb_85,0.009348132827602247,0.007636900184896183
emb_7,0.00926533873257856,0.006354296785662133
emb_33,0.009209912025077965,0.007414417797245397
emb_105,0.009030785268117647,0.006776803035309258
emb_103,0.00898432437231947,0.006082183306539357
emb_35,0.008901525682550652,0.007370152543035711
emb_69,0.008889989177273109,0.007096140780637772
emb_34,0.008876725099030628,0.006705194109371962
emb_18,0.008612617918830442,0.00624200216878711
emb_68,0.008612077976327457,0.006535950259254472
emb_41,0.008448273436300897,0.00805535735684466
emb_1,0.008433672581387597,0.006718925821888835
emb_117,0.008419867516228073,0.007229374269375329
emb_57,0.008373143153598328,0.006179130838563813
emb_8,0.008340208677348188,0.0064994857528231885
emb_102,0.00832581087140779,0.005832251191336369
emb_106,0.008258420080360518,0.006633007489599054
emb_61,0.00824123260506702,0.00630401021205205
emb_17,0.00820882261501288,0.0063808881144860165
emb_74,0.00818768534615736,0.005985675759825725
emb_54,0.00817064745704748,0.006530641752865911
emb_38,0.008141108277995508,0.006645968717907897
emb_92,0.008123244362447707,0.006331649806419642
emb_27,0.008119913639198551,0.00607832755198556
emb_20,0.008102170176762154,0.005699214831985705
emb_66,0.00808154125515137,0.005988735681521974
emb_30,0.008067738378621563,0.0059575334869655825
emb_70,0.00804670423549531,0.005708616389482638
emb_44,0.008045803688280152,0.0061442269596534765
emb_32,0.008031590896744418,0.0073918245131311035
emb_39,0.008030479870696773,0.006445844058671404
emb_28,0.00802567507188179,0.006148825407287443
emb_6,0.008001410221446608,0.006473133682455565
emb_101,0.007989818013683914,0.005767089063570449
emb_88,0.007985584506756422,0.0054622741894832585
emb_22,0.007977048618981977,0.006260684010124577
emb_4,0.007970517715091751,0.005978756022812502
emb_36,0.007961639388224816,0.007099840859223685
emb_91,0.007949025760558082,0.0064314599394213355
emb_87,0.007942275868408157,0.007062134859137658
emb_112,0.007937927760367468,0.006099555704887569
emb_14,0.007886245576844713,0.006334179855023702
emb_111,0.00787395600434784,0.00660085183603419
emb_123,0.007871023527842198,0.006834560512118439
emb_108,0.007863489273178476,0.006773736617663195
emb_5,0.007854961200100475,0.005246605496727613
emb_60,0.007849088749514089,0.00583231275097083
emb_40,0.007833362661031917,0.006547940687155812
emb_15,0.007816793006706938,0.006186577210298937
emb_122,0.007795445530533958,0.006407865919021912
emb_114,0.007780662094988122,0.006026639227947695
emb_2,0.0077364435469675094,0.0052765277995065205
emb_31,0.007732248959271351,0.006237903514746787
emb_79,0.007722912713714455,0.0063183993008560455
emb_13,0.00771257023155477,0.006207513083723864
emb_110,0.007705836552284514,0.006131979123991588
emb_63,0.0076795313844153475,0.005019887209443137
emb_58,0.007622805300690226,0.00610486674821372
emb_83,0.007618691564534695,0.005599207903673019
emb_37,0.00761158684627765,0.00666779225716033
emb_78,0.007608488557500831,0.007401597712520475
emb_3,0.007599300620060371,0.006913334859924775
emb_48,0.0075911580003848655,0.006343952818719135
emb_23,0.007580668669532887,0.0061154079570393954
emb_125,0.007573007559168212,0.006748448579674017
emb_96,0.007568867048222947,0.006206345171529764
emb_76,0.007548946504326459,0.006859156557605478
emb_45,0.007520722122632799,0.005850198748322297
emb_11,0.007497807951451065,0.005360410976210927
emb_21,0.00748006355478152,0.0062495702661974645
emb_71,0.007463049280617462,0.006324437164857592
emb_95,0.00743907182832883,0.006017700888939808
emb_55,0.00742887886978705,0.005223171621108578
emb_19,0.007420394645431348,0.00591650390883318
emb_121,0.007378974236384073,0.0061368206984868424
emb_75,0.0073782527910078236,0.005524601014973434
emb_25,0.007348792998541821,0.005747194957589892
emb_51,0.007338744088881019,0.006351401334689026
emb_86,0.0073381139856135294,0.006694328596857645
emb_72,0.007335119159869199,0.006151565103978508
emb_115,0.0073337326120406846,0.005562656961490643
emb_59,0.007298680780580495,0.0055539931995949405
emb_116,0.007289614428810388,0.0059168329775545325
emb_24,0.007289364204783565,0.005902116585647956
emb_0,0.007285144336784955,0.00604913572045772
emb_126,0.007223918002901953,0.005927179195270124
emb_42,0.007221348651718872,0.006102958934448668
emb_90,0.007217216273604353,0.005872851969395427
emb_56,0.007211113985345046,0.0064335513039233735
emb_89,0.007151803692462938,0.0058279730693296195
emb_81,0.007116372068996958,0.006454357923706497
emb_98,0.007106660557721582,0.005168963726137823
emb_80,0.007095682105795313,0.005755332403729474
emb_62,0.007068601444981144,0.005164616448956383
emb_50,0.007056525677652859,0.0062592874042288514
emb_107,0.0070073360716043556,0.0059922881357521995
emb_82,0.00699502931848064,0.005581761301915981
emb_10,0.006971007355122925,0.006046442044933422
emb_127,0.006969030525761752,0.005456983207171413
emb_109,0.006933420989628938,0.005312318928036352
emb_49,0.006896386049989439,0.004903218232887604
emb_12,0.0068505331684564855,0.006172094893756242
emb_104,0.006848050535694413,0.005884035670777179
emb_93,0.006844932385640037,0.0061198922422107055
emb_77,0.006843583299185873,0.005177236935133684
emb_94,0.006789800990520659,0.0060358734521222855
emb_46,0.006774976445941923,0.005528037584323186
emb_124,0.006749967693702553,0.00532826187937269
emb_65,0.0067263972324632,0.0058383527168666995
emb_26,0.0067238084939028695,0.005052482833350475
emb_113,0.0067191207154222886,0.005296838116559399
emb_118,0.006655599073658194,0.0060366511237052835
emb_100,0.006641342176333371,0.005366609929886054
emb_64,0.006622207460614887,0.00517279756622854
emb_43,0.006596654946112827,0.0056872148919339845
emb_119,0.006554811296938452,0.00570403411828596
emb_16,0.006493103103350598,0.005473289528193088
emb_53,0.006444460287234124,0.005673813275952272
emb_99,0.006398429006174259,0.005214249146483929
